id,destination,origin,year,migrants
969,30,51,1990,103
970,30,141,1990,32
971,30,52,1990,0
972,30,134,1990,4
973,30,75,1990,10
974,30,76,1990,1
975,30,103,1990,7
976,30,11,1990,1207
977,30,77,1990,1
978,30,66,1990,26
979,30,12,1990,8
980,30,78,1990,1
981,30,13,1990,1
982,30,3,1990,22
983,30,79,1990,1
984,30,29,1990,89
985,30,67,1990,14
986,30,95,1990,0
987,30,151,1990,2
988,30,4,1990,1
989,30,53,1990,18
990,30,147,1990,7
991,30,105,1990,8
992,30,152,1990,3
993,30,116,1990,4
994,30,153,1990,2
995,30,135,1990,1
996,30,80,1990,0
997,30,136,1990,1
998,30,106,1990,3
999,30,172,1990,362
1000,30,107,1990,1
1001,30,137,1990,10
1002,30,96,1990,1
1003,30,54,1990,15
1004,30,81,1990,50
1005,30,14,1990,103
1006,30,31,1990,162
1007,30,176,1990,1
1008,30,137,1990,3
1009,30,39,1990,10
1010,30,118,1990,1
1011,30,82,1990,0
1012,30,83,1990,5
1013,30,108,1990,1
1014,30,142,1990,30
1015,30,97,1990,1
1016,30,119,1990,1
1017,30,40,1990,4
1018,30,148,1990,1
1019,30,120,1990,26
1020,30,42,1990,10
1021,30,68,1990,63
1022,30,139,1990,3
1023,30,155,1990,2
1024,30,15,1990,77
1025,30,69,1990,252
1026,30,156,1990,4
1027,30,55,1990,2
1028,30,56,1990,1246
1029,30,98,1990,1
1030,30,157,1990,4
1031,30,158,1990,1
1032,30,110,1990,1
1033,30,85,1990,1
1034,30,99,1990,0
1035,30,32,1990,70
1036,30,43,1990,1
1037,30,5,1990,163
1038,30,6,1990,98
1039,30,16,1990,171
1040,30,44,1990,4
1041,30,45,1990,0
1042,30,17,1990,58
1043,30,57,1990,113
1044,30,86,1990,1
1045,30,177,1990,26
1046,30,18,1990,83
1047,30,167,1990,89
1048,30,121,1990,2
1049,30,19,1990,9
1050,30,168,1990,10
1051,30,46,1990,10
1052,30,20,1990,266
1053,30,159,1990,1
1054,30,143,1990,34
1055,30,70,1990,1
1056,30,47,1990,9
1057,30,71,1990,2
1058,30,122,1990,0
1059,30,123,1990,0
